Name	PlantCyc_ID
4'-demethyldeoxypodophyllotoxin	CPD-18756
3590-93-0	CPD-18756
4'-demethyldesoxypodophyllotoxin	CPD-18756
a 80198	CPD-18756
chebi:1729	CPD-18756
(-)-4'-demethyldeoxypodophyllotoxin	CPD-18756
7-dehydroxy-4-demethylpodophyllotoxin	CPD-18756
(5r,5ar,8ar)-5-(4-hydroxy-3,5-dimethoxyphenyl)-5a,8,8a,9-tetrahydro-5h-[2]benzofuro[5,6-f][1,3]benzodioxol-6-one	CPD-18756
podophyllotoxin, 4'-o-demethyl-4-deoxy- (7ci,8ci)	CPD-18756
furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one, 5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5r-(5-alpha,5a-beta,8a-alpha))-	CPD-18756
nsc267714	CPD-18756
4'-demethyl-	CPD-18756
4-demethyldeoxypodophyllotoxin	CPD-18756
chembl89905	CPD-18756
4-demethyl-deoxypodophyllotoxin	CPD-18756
4'-desmethyldesoxypodophyllotoxin	CPD-18756
schembl15892698	CPD-18756
dtxsid50189475	CPD-18756
zinc3782246	CPD-18756
(-)-4'-demethyl-deoxypodophyllotoxin	CPD-18756
(-)-4'-desmethyl-deoxypodophyllotoxin	CPD-18756
akos004120062	CPD-18756
ncgc00161920-01	CPD-18756
ls-70851	CPD-18756
c10552	CPD-18756
q27105498	CPD-18756
(10r,11r,15r)-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.03,7.011,15]hexadeca-1,3(7),8-trien-12-one	CPD-18756
(5r,5ar,8ar)-5-(4-hydroxy-3,5-dimethoxy-phenyl)-5,8,8a,9-tetrahydro-5ah-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6-one, aldrichcpr	CPD-18756
(5r,5ar,8ar)-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydro-2h-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5ah)-one	CPD-18756
(5r,5ar,8ar)-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5ah)-one	CPD-18756
4'-demethylepipodophyllotoxin	CPD-18757
6559-91-7	CPD-18757
4'-dmep	CPD-18757
unii-x0s6i23x6l	CPD-18757
(-)-4'-demethylepipodophyllotoxin	CPD-18757
brn 1358259	CPD-18757
x0s6i23x6l	CPD-18757
chebi:74422	CPD-18757
c21h20o8	CPD-18757
(5r,5ar,8ar,9s)-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5ah)-one	CPD-18757
4-demethylepipodophyllotoxin	CPD-18757
(5r-(5alpha,5abeta,8aalpha,9beta))-5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one	CPD-18757
(5s,5ar,8ar,9r)-9-(3,5-dimethoxy-4-oxidanyl-phenyl)-5-oxidanyl-5a,6,8a,9-tetrahydro-5h-[2]benzofuro[6,5-f][1,3]benzodioxol-8-one	CPD-18757
furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one, 5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5r-(5-alpha,5a-beta,8a-alpha,9-beta))-	CPD-18757
furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5ah)-one, 5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5r,5ar,8ar,9s)-	CPD-18757
4'-o-demethylepipodophyllotoxin	CPD-18757
4'-demethyl-epipodophyllotoxin	CPD-18757
etoposide aglycone	CPD-18757
ncgc00161927-01	CPD-18757
dsstox_cid_28668	CPD-18757
dsstox_rid_82938	CPD-18757
dsstox_gsid_48742	CPD-18757
chembl31929	CPD-18757
4'-demethyl epipodophyllotoxin	CPD-18757
epi-4'-demethylpodophyllotoxin	CPD-18757
schembl9885196	CPD-18757
dtxsid7048742	CPD-18757
4'-demethyl-9-epipodophyllotoxin	CPD-18757
epipodophyllotoxin, 4'-demethyl-	CPD-18757
4'-o-demethyl-4-epipodophyllotoxin	CPD-18757
ex-a1205	CPD-18757
zinc5670074	CPD-18757
(-)-4'-demethyl-epipodophyllotoxin	CPD-18757
tox21_113196	CPD-18757
s2254	CPD-18757
akos015896348	CPD-18757
ac-7468	CPD-18757
acn-029912	CPD-18757
ccg-208563	CPD-18757
cs-1426	CPD-18757
4'-demethyl epi-podophyllotoxin (dmep)	CPD-18757
as-18736	CPD-18757
hy-17435	CPD-18757
ls-70855	CPD-18757
sc-87273	CPD-18757
cas-6559-91-7	CPD-18757
4'-demethylepipodophyllotoxin 6559-91-7	CPD-18757
ab0028992	CPD-18757
x1118	CPD-18757
c-1183	CPD-18757
c21185	CPD-18757
sr-05000002194	CPD-18757
q-100747	CPD-18757
sr-05000002194-2	CPD-18757
q27144659	CPD-18757
(10r,11r,15r,16s)-16-hydroxy-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.03,7.011,15]hexadeca-1,3(7),8-trien-12-one	CPD-18757
(5r,5ar,8ar,9s)-5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5ah)-one	CPD-18757
(5r,5ar,8ar,9s)-5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5ah)-one	CPD-18757
(5s,5ar,8ar,9r)-5-hydroxy-9-(4-hydroxy-3,5-dimethoxy-phenyl)-5a,6,8a,9-tetrahydro-5h-isobenzofuro[6,5-f][1,3]benzodioxol-8-one	CPD-18757
4'-dmep|||(5s,5ar,8ar,9r)-5-hydroxy-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5h-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one	CPD-18757
89o	CPD-18757
furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one, 5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5r-(5alpha,5abeta,8aalpha,9beta))-	CPD-18757
(-)-5'-desmethylyatein	CPD-18755
(-)-5'-demethylyatein	CPD-18755
(3r,4r)-4-(2h-1,3-benzodioxol-5-ylmethyl)-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one	CPD-18755
3-demethylyatein	CPD-18755
(-)-3-desmethylyatein	CPD-18755
chebi:90894	CPD-18755
c21184	CPD-18755
q27162873	CPD-18755
(3r,4r)-4-(1,3-benzodioxol-5-ylmethyl)-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one	CPD-18755
(r,4r)-4-[(2h-1,3-benzodioxol-5-yl)methyl]-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one	CPD-18755
4,5-dihydro-4beta-[(1,3-benzodioxole-5-yl)methyl]-3alpha-(5-hydroxy-3,4-dimethoxybenzyl)furan-2(3h)-one	CPD-18755
(-)-8-demethylmaritidine	CPD-19446
8-o-demethylmaritidine	CPD-19446
normaritidine	CPD-19446
chembl2087242	CPD-19446
chebi:31027	CPD-19446
c12180	CPD-19446
ac1l9ezw	CPD-19446
(?)-8-demethylmaritidine	CPD-19446
(10br, 4as)-normaritidine	CPD-19446
bdbm50092611	CPD-19446
q27114081	CPD-19446
(1r,10s,12s)-4-methoxy-9-azatetracyclo[7.5.2.01,10.02,7]hexadeca-2,4,6,13-tetraene-5,12-diol	CPD-19446
9beta-pimara-7,15-dien-19-al	CPD-13922
syn-pimara-7,15-dien-19-al	CPD-13922
(9beta)-pimara-7,15-dien-19-al	CPD-13922
(1s,4ar,4br,7r,10ar)-7-ethenyl-1,4a,7-trimethyl-1,2,3,4,4a,4b,5,6,7,8,10,10a-dodecahydrophenanthrene-1-carbaldehyde	CPD-13922
chebi:63658	CPD-13922
(-)-9beta-pimara-7,15-dien-19-al	CPD-13922
c20148	CPD-13922
q27132709	CPD-13922
9beta-pimara-7,15-dien-19-oate	CPD-13923
chebi:63659	CPD-13923
(9beta)-pimara-7,15-dien-19-oate	CPD-13923
(-)-9beta-pimara-7,15-dien-19-oate	CPD-13923
q27132710	CPD-13923
(1s,4ar,4br,7r,10ar)-7-ethenyl-1,4a,7-trimethyl-1,2,3,4,4a,4b,5,6,7,8,10,10a-dodecahydrophenanthrene-1-carboxylate	CPD-13923
9beta-pimara-7,15-dien-19-ol	CPD-13921
(9beta)-pimara-7,15-dien-19-ol	CPD-13921
[(1s,4ar,4br,7r,10ar)-7-ethenyl-1,4a,7-trimethyl-1,2,3,4,4a,4b,5,6,7,8,10,10a-dodecahydrophenanthren-1-yl]methanol	CPD-13921
chebi:63656	CPD-13921
(-)-9beta-pimara-7,15-dien-19-ol	CPD-13921
c20147	CPD-13921
q27132707	CPD-13921
9beta-pimara-7,15-diene	CPD-4754
syn-pimaradiene	CPD-4754
(-)-9beta-pimaradiene	CPD-4754
syn-pimara-7,15-diene	CPD-4754
9  -pimara-7,15-diene	CPD-4754
chebi:50067	CPD-4754
(-)-9beta-pimara-7,15-diene	CPD-4754
[9beta,(?)]-pimara-7,15-diene	CPD-4754
lmpr0104080006	CPD-4754
c18225	CPD-4754
q27121884	CPD-4754
(2r,4ar,4bs,8as)-2-ethenyl-2,4b,8,8-tetramethyl-3,4,4a,5,6,7,8a,9-octahydro-1h-phenanthrene	CPD-4754
bursehernin	CPD-17599
(-)-bursehernin	CPD-17599
40456-51-7	CPD-17599
(3r-trans)-4-(1,3-benzodioxol-5-ylmethyl)-3-((3,4-dimethoxyphenyl)methyl)dihydro-2(3h)-furanone	CPD-17599
(3r,4r)-4-(1,3-benzodioxol-5-ylmethyl)-3-[(3,4-dimethoxyphenyl)methyl]oxolan-2-one	CPD-17599
(3r,4r)-4-(2h-1,3-benzodioxol-5-ylmethyl)-3-[(3,4-dimethoxyphenyl)methyl]oxolan-2-one	CPD-17599
(3r-trans)-4-(1,3-benzodioxol-5-ylmethyl)-3-[(3,4-dimethoxyphenyl)methyl]dihydro-2(3h)-furanone	CPD-17599
(-)-5'-desmethoxy-yatein	CPD-17599
schembl12857588	CPD-17599
chebi:90893	CPD-17599
dtxsid50960847	CPD-17599
