Name	inHouse_ID
trimethylamine n-oxide	cnic_1
trimethylamine oxide	cnic_1
1184-78-7	cnic_1
triox	cnic_1
n,n-dimethylmethanamine oxide	cnic_1
tmao	cnic_1
trimethyloxamine	cnic_1
methanamine, n,n-dimethyl-, n-oxide	cnic_1
trimethylamine-n-oxide	cnic_1
n,n-dimethylmethanamine n-oxide	cnic_1
trimethylamine, n-oxide	cnic_1
tmano	cnic_1
(ch3)3no	cnic_1
trimethylaminoxid	cnic_1
unii-fld0k1sj1a	cnic_1
einecs 214-675-6	cnic_1
fld0k1sj1a	cnic_1
nsc 408426	cnic_1
trimethylamine n-oxide hydrochloride	cnic_1
ai3-60110	cnic_1
n(ch3)3o	cnic_1
trimethylamine, n-oxide (8ci)	cnic_1
n,n-dimethylmethanamine oxide (iupac)	cnic_1
tmae	cnic_1
trimethylaminoxide	cnic_1
tma-oxide	cnic_1
trimethylamineoxide	cnic_1
n,n-dimethyl-methanamine-n-oxide	cnic_1
trimethyl amine oxide	cnic_1
trimethlamine-n-oxide	cnic_1
trimethyl-oxido-ammonium	cnic_1
trimenthlamine-n-o	cnic_1
bmse000426	cnic_1
me3n(o)	cnic_1
dtxsid8049678	cnic_1
chebi:15724	cnic_1
ctk4b0694	cnic_1
uypyrkyukchhib-uhfffaoysa-	cnic_1
me3n(+)o(-)	cnic_1
methanamine,n-dimethyl-, n-oxide	cnic_1
sz041	cnic_1
zinc895494	cnic_1
trimethylamine oxide 1184-78-7	cnic_1
methanamine,n,n-dimethyl-, n-oxide	cnic_1
nsc408426	cnic_1
akos015917746	cnic_1
nsc-408426	cnic_1
as-62713	cnic_1
db-061286	cnic_1
hy-116084	cnic_1
ls-183693	cnic_1
cs-0063748	cnic_1
ft-0675602	cnic_1
ft-0697390	cnic_1
c01104	cnic_1
a803941	cnic_1
q419802	cnic_1
j-003759	cnic_1
tyrosocholic acid	cnic_4
acetate	cnic_6
acetate ion	cnic_6
acetic acid, ion(1-)	cnic_6
acetate ions	cnic_6
71-50-1	cnic_6
monoacetate	cnic_6
meco2 anion	cnic_6
unii-569dqm74sc	cnic_6
ethanoate	cnic_6
acetat	cnic_6
569dqm74sc	cnic_6
natriumazetat	cnic_6
ethanoat	cnic_6
shotgun	cnic_6
chembl1354	cnic_6
azetat	cnic_6
racemic acetate	cnic_6
acetate anion	cnic_6
acetoxy ion	cnic_6
acetyl hydroxide	cnic_6
acetic acid ion	cnic_6
acetic acid anion	cnic_6
acetic cid glacial	cnic_6
acetate ion (1-)	cnic_6
tclp extraction fluid 2	cnic_6
ch3-coo(-)	cnic_6
dtxsid1037694	cnic_6
chebi:30089	cnic_6
ctk5d4394	cnic_6
bdbm50159793	cnic_6
cmc_13391	cnic_6
stl282721	cnic_6
akos022101130	cnic_6
db14511	cnic_6
ls-189936	cnic_6
1395-ep1441224a2	cnic_6
1395-ep2269610a2	cnic_6
