Name	HMDB_ID
4'-Demethyldeoxypodophyllotoxin	CPD-18756
3590-93-0	CPD-18756
4'-Demethyldesoxypodophyllotoxin	CPD-18756
A 80198	CPD-18756
CHEBI:1729	CPD-18756
(-)-4'-demethyldeoxypodophyllotoxin	CPD-18756
7-Dehydroxy-4-demethylpodophyllotoxin	CPD-18756
(5R,5aR,8aR)-5-(4-hydroxy-3,5-dimethoxyphenyl)-5a,8,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-6-one	CPD-18756
Podophyllotoxin, 4'-O-demethyl-4-deoxy- (7CI,8CI)	CPD-18756
Furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one, 5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5R-(5-alpha,5a-beta,8a-alpha))-	CPD-18756
NSC267714	CPD-18756
4'-demethyl-	CPD-18756
4-Demethyldeoxypodophyllotoxin	CPD-18756
CHEMBL89905	CPD-18756
4-Demethyl-Deoxypodophyllotoxin	CPD-18756
4'-desmethyldesoxypodophyllotoxin	CPD-18756
SCHEMBL15892698	CPD-18756
DTXSID50189475	CPD-18756
ZINC3782246	CPD-18756
(-)-4'-demethyl-deoxypodophyllotoxin	CPD-18756
(-)-4'-desmethyl-deoxypodophyllotoxin	CPD-18756
AKOS004120062	CPD-18756
NCGC00161920-01	CPD-18756
LS-70851	CPD-18756
C10552	CPD-18756
Q27105498	CPD-18756
(10R,11R,15R)-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.03,7.011,15]hexadeca-1,3(7),8-trien-12-one	CPD-18756
(5r,5ar,8ar)-5-(4-hydroxy-3,5-dimethoxy-phenyl)-5,8,8a,9-tetrahydro-5ah-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6-one, AldrichCPR	CPD-18756
(5R,5aR,8aR)-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydro-2H-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one	CPD-18756
(5R,5aR,8aR)-5-(4-Hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one	CPD-18756
4'-Demethylepipodophyllotoxin	CPD-18757
6559-91-7	CPD-18757
4'-DMEP	CPD-18757
UNII-X0S6I23X6L	CPD-18757
(-)-4'-Demethylepipodophyllotoxin	CPD-18757
BRN 1358259	CPD-18757
X0S6I23X6L	CPD-18757
CHEBI:74422	CPD-18757
C21H20O8	CPD-18757
(5R,5aR,8aR,9S)-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-5,8,8a,9-tetrahydrofuro[3',4':6,7]naphtho[2,3-d][1,3]dioxol-6(5aH)-one	CPD-18757
4-Demethylepipodophyllotoxin	CPD-18757
(5R-(5alpha,5abeta,8aalpha,9beta))-5,8,8a,9-Tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5aH)-one	CPD-18757
(5s,5ar,8ar,9r)-9-(3,5-Dimethoxy-4-Oxidanyl-Phenyl)-5-Oxidanyl-5a,6,8a,9-Tetrahydro-5h-[2]benzofuro[6,5-F][1,3]benzodioxol-8-One	CPD-18757
Furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one, 5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5R-(5-alpha,5a-beta,8a-alpha,9-beta))-	CPD-18757
Furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one, 5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5R,5aR,8aR,9S)-	CPD-18757
4'-O-demethylepipodophyllotoxin	CPD-18757
4'-Demethyl-epipodophyllotoxin	CPD-18757
etoposide aglycone	CPD-18757
NCGC00161927-01	CPD-18757
DSSTox_CID_28668	CPD-18757
DSSTox_RID_82938	CPD-18757
DSSTox_GSID_48742	CPD-18757
CHEMBL31929	CPD-18757
4'-demethyl epipodophyllotoxin	CPD-18757
epi-4'-demethylpodophyllotoxin	CPD-18757
SCHEMBL9885196	CPD-18757
DTXSID7048742	CPD-18757
4'-demethyl-9-epipodophyllotoxin	CPD-18757
Epipodophyllotoxin, 4'-demethyl-	CPD-18757
4'-O-demethyl-4-epipodophyllotoxin	CPD-18757
EX-A1205	CPD-18757
ZINC5670074	CPD-18757
(-)-4'-demethyl-epipodophyllotoxin	CPD-18757
Tox21_113196	CPD-18757
s2254	CPD-18757
AKOS015896348	CPD-18757
AC-7468	CPD-18757
ACN-029912	CPD-18757
CCG-208563	CPD-18757
CS-1426	CPD-18757
4'-Demethyl epi-Podophyllotoxin (DMEP)	CPD-18757
AS-18736	CPD-18757
HY-17435	CPD-18757
LS-70855	CPD-18757
SC-87273	CPD-18757
CAS-6559-91-7	CPD-18757
4'-Demethylepipodophyllotoxin 6559-91-7	CPD-18757
AB0028992	CPD-18757
X1118	CPD-18757
C-1183	CPD-18757
C21185	CPD-18757
SR-05000002194	CPD-18757
Q-100747	CPD-18757
SR-05000002194-2	CPD-18757
Q27144659	CPD-18757
(10R,11R,15R,16S)-16-hydroxy-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.03,7.011,15]hexadeca-1,3(7),8-trien-12-one	CPD-18757
(5R,5aR,8aR,9S)-5,8,8a,9-Tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one	CPD-18757
(5R,5aR,8aR,9S)-5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one	CPD-18757
(5S,5aR,8aR,9R)-5-hydroxy-9-(4-hydroxy-3,5-dimethoxy-phenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofuro[6,5-f][1,3]benzodioxol-8-one	CPD-18757
4'-DMEP|||(5S,5aR,8aR,9R)-5-Hydroxy-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one	CPD-18757
89O	CPD-18757
Furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5aH)-one, 5,8,8a,9-tetrahydro-9-hydroxy-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5R-(5alpha,5abeta,8aalpha,9beta))-	CPD-18757
(-)-5'-desmethylyatein	CPD-18755
(-)-5'-demethylyatein	CPD-18755
(3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one	CPD-18755
3-demethylyatein	CPD-18755
(-)-3-desmethylyatein	CPD-18755
CHEBI:90894	CPD-18755
C21184	CPD-18755
Q27162873	CPD-18755
(3R,4R)-4-(1,3-benzodioxol-5-ylmethyl)-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one	CPD-18755
(R,4R)-4-[(2H-1,3-benzodioxol-5-yl)methyl]-3-[(3-hydroxy-4,5-dimethoxyphenyl)methyl]oxolan-2-one	CPD-18755
4,5-Dihydro-4beta-[(1,3-benzodioxole-5-yl)methyl]-3alpha-(5-hydroxy-3,4-dimethoxybenzyl)furan-2(3H)-one	CPD-18755
(-)-8-Demethylmaritidine	CPD-19446
8-O-demethylmaritidine	CPD-19446
Normaritidine	CPD-19446
CHEMBL2087242	CPD-19446
CHEBI:31027	CPD-19446
C12180	CPD-19446
AC1L9EZW	CPD-19446
(?)-8-Demethylmaritidine	CPD-19446
(10bR, 4aS)-normaritidine	CPD-19446
BDBM50092611	CPD-19446
Q27114081	CPD-19446
(1R,10S,12S)-4-methoxy-9-azatetracyclo[7.5.2.01,10.02,7]hexadeca-2,4,6,13-tetraene-5,12-diol	CPD-19446
9beta-pimara-7,15-dien-19-al	CPD-13922
syn-pimara-7,15-dien-19-al	CPD-13922
(9beta)-pimara-7,15-dien-19-al	CPD-13922
(1S,4aR,4bR,7R,10aR)-7-ethenyl-1,4a,7-trimethyl-1,2,3,4,4a,4b,5,6,7,8,10,10a-dodecahydrophenanthrene-1-carbaldehyde	CPD-13922
CHEBI:63658	CPD-13922
(-)-9beta-pimara-7,15-dien-19-al	CPD-13922
C20148	CPD-13922
Q27132709	CPD-13922
9beta-pimara-7,15-dien-19-oate	CPD-13923
CHEBI:63659	CPD-13923
(9beta)-pimara-7,15-dien-19-oate	CPD-13923
(-)-9beta-pimara-7,15-dien-19-oate	CPD-13923
Q27132710	CPD-13923
(1S,4aR,4bR,7R,10aR)-7-ethenyl-1,4a,7-trimethyl-1,2,3,4,4a,4b,5,6,7,8,10,10a-dodecahydrophenanthrene-1-carboxylate	CPD-13923
9beta-pimara-7,15-dien-19-ol	CPD-13921
(9beta)-pimara-7,15-dien-19-ol	CPD-13921
[(1S,4aR,4bR,7R,10aR)-7-ethenyl-1,4a,7-trimethyl-1,2,3,4,4a,4b,5,6,7,8,10,10a-dodecahydrophenanthren-1-yl]methanol	CPD-13921
CHEBI:63656	CPD-13921
(-)-9beta-pimara-7,15-dien-19-ol	CPD-13921
C20147	CPD-13921
Q27132707	CPD-13921
9beta-Pimara-7,15-diene	CPD-4754
syn-pimaradiene	CPD-4754
(-)-9beta-pimaradiene	CPD-4754
syn-pimara-7,15-diene	CPD-4754
9  -pimara-7,15-diene	CPD-4754
CHEBI:50067	CPD-4754
(-)-9beta-pimara-7,15-diene	CPD-4754
[9beta,(?)]-Pimara-7,15-diene	CPD-4754
LMPR0104080006	CPD-4754
C18225	CPD-4754
Q27121884	CPD-4754
(2R,4aR,4bS,8aS)-2-ethenyl-2,4b,8,8-tetramethyl-3,4,4a,5,6,7,8a,9-octahydro-1H-phenanthrene	CPD-4754
(-)-alpha-Pinene	CPD-4892
7785-26-4	CPD-4892
(1S,5S)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene	CPD-4892
(1S)-(-)-alpha-Pinene	CPD-4892
UNII-TZR3GM95PR	CPD-4892
(1S,5S)-alpha-pinene	CPD-4892
Bicyclo[3.1.1]hept-2-ene, 2,6,6-trimethyl-, (1S,5S)-	CPD-4892
MFCD00064145	CPD-4892
TZR3GM95PR	CPD-4892
2437-95-8	CPD-4892
CHEBI:28660	CPD-4892
(1S,5S)-4,6,6-trimethylbicyclo[3.1.1]hept-3-ene	CPD-4892
