Name	inHouse_ID
TRIMETHYLAMINE N-OXIDE	cnic_1
Trimethylamine oxide	cnic_1
1184-78-7	cnic_1
Triox	cnic_1
N,N-dimethylmethanamine oxide	cnic_1
TMAO	cnic_1
Trimethyloxamine	cnic_1
Methanamine, N,N-dimethyl-, N-oxide	cnic_1
trimethylamine-N-oxide	cnic_1
N,N-Dimethylmethanamine N-oxide	cnic_1
Trimethylamine, N-oxide	cnic_1
TMANO	cnic_1
(CH3)3NO	cnic_1
Trimethylaminoxid	cnic_1
UNII-FLD0K1SJ1A	cnic_1
EINECS 214-675-6	cnic_1
FLD0K1SJ1A	cnic_1
NSC 408426	cnic_1
TRIMETHYLAMINE N-OXIDE HYDROCHLORIDE	cnic_1
AI3-60110	cnic_1
N(CH3)3O	cnic_1
Trimethylamine, N-oxide (8CI)	cnic_1
N,N-dimethylmethanamine oxide (IUPAC)	cnic_1
TMAe	cnic_1
trimethylaminoxide	cnic_1
TMA-oxide	cnic_1
trimethylamineoxide	cnic_1
N,N-Dimethyl-methanamine-N-oxide	cnic_1
trimethyl amine oxide	cnic_1
Trimethlamine-N-oxide	cnic_1
trimethyl-oxido-ammonium	cnic_1
TRIMENTHLAMINE-N-O	cnic_1
bmse000426	cnic_1
Me3N(O)	cnic_1
DTXSID8049678	cnic_1
CHEBI:15724	cnic_1
CTK4B0694	cnic_1
UYPYRKYUKCHHIB-UHFFFAOYSA-	cnic_1
Me3N(+)O(-)	cnic_1
Methanamine,N-dimethyl-, N-oxide	cnic_1
SZ041	cnic_1
ZINC895494	cnic_1
Trimethylamine oxide 1184-78-7	cnic_1
Methanamine,N,N-dimethyl-, N-oxide	cnic_1
NSC408426	cnic_1
AKOS015917746	cnic_1
NSC-408426	cnic_1
AS-62713	cnic_1
DB-061286	cnic_1
HY-116084	cnic_1
LS-183693	cnic_1
CS-0063748	cnic_1
FT-0675602	cnic_1
FT-0697390	cnic_1
C01104	cnic_1
A803941	cnic_1
Q419802	cnic_1
J-003759	cnic_1
Tyrosocholic acid	cnic_4
acetate	cnic_6
Acetate Ion	cnic_6
Acetic acid, ion(1-)	cnic_6
Acetate ions	cnic_6
71-50-1	cnic_6
monoacetate	cnic_6
MeCO2 anion	cnic_6
UNII-569DQM74SC	cnic_6
ethanoate	cnic_6
Acetat	cnic_6
569DQM74SC	cnic_6
Natriumazetat	cnic_6
Ethanoat	cnic_6
Shotgun	cnic_6
CHEMBL1354	cnic_6
Azetat	cnic_6
racemic acetate	cnic_6
Acetate anion	cnic_6
Acetoxy ion	cnic_6
acetyl hydroxide	cnic_6
Acetic acid ion	cnic_6
Acetic acid anion	cnic_6
Acetic cid glacial	cnic_6
Acetate ion (1-)	cnic_6
TCLP extraction fluid 2	cnic_6
CH3-COO(-)	cnic_6
DTXSID1037694	cnic_6
CHEBI:30089	cnic_6
CTK5D4394	cnic_6
BDBM50159793	cnic_6
